date,lithium,nickel,platinum,cobalt,copper
1989-01-01,,,,,
1989-02-01,,,,,
1989-03-01,,,,,
1989-04-01,,,,,
1989-05-01,,,,,
1989-06-01,,,,,
1989-07-01,,,,,
1989-08-01,,,,,
1989-09-01,,,,,
1989-10-01,,,,,
1989-11-01,,,,,
1989-12-01,,,,,
1990-01-01,,,,,
1990-02-01,,,,,
1990-03-01,,,,,
1990-04-01,,,,,
1990-05-01,,,,,
1990-06-01,,,,,
1990-07-01,,,,,
1990-08-01,,,,,
1990-09-01,,,,,
1990-10-01,,,,,
1990-11-01,,,,,
1990-12-01,,,,,
1991-01-01,,,,,
1991-02-01,,,,,
1991-03-01,,,,,
1991-04-01,,,,,
1991-05-01,,,,,
1991-06-01,,,,,
1991-07-01,,,,,
1991-08-01,,,,,
1991-09-01,,,,,
1991-10-01,,,,,
1991-11-01,,,,,
1991-12-01,,,,,
1992-01-01,,7531.13671875,341.1869565217391,30920.0019836426,2150.57962901611
1992-02-01,,7888.0,362.1225,28250.0,2208.89225860596
1992-03-01,,7430.455078125,356.9386363636364,28330.0018310547,2231.78550956421
1992-04-01,,7417.951171875,347.3,27020.0004577637,2214.16681599274
1992-05-01,,7333.947265625,358.5880952380952,26500.0,2219.31505581207
1992-06-01,,7202.36328125,369.1272727272727,24750.0,2296.44193858643
1992-07-01,,7516.173828125,383.1217391304348,21669.9981689453,2527.28502240143
1992-08-01,,7279.75,359.552380952381,19630.0010681152,2513.46998458252
1992-09-01,,6918.572265625,362.1431818181818,18781.25,2419.61418178101
1992-10-01,,6322.5,358.0681818181818,15350.0022888184,2262.45696237183
1992-11-01,,5593.71484375,356.1095238095238,16312.5,2161.78909368286
1992-12-01,,5751.1904296875,361.9717391304348,15875.0,2211.95028749237
1993-01-01,,5948.10009765625,359.1357142857143,15505.0001144409,2264.21397077332
1993-02-01,,6050.75,359.0175,15958.3330154419,2212.18139313507
1993-03-01,,5974.9130859375,350.4586956521739,16125.0,2152.38020099945
1993-04-01,,5987.5,368.0113636363636,15274.9996185303,1953.62060192108
1993-05-01,,5777.78955078125,385.1595238095238,14800.0001907349,1799.35169844818
1993-06-01,,5544.318359375,383.0159090909091,13687.5,1857.87070840454
1993-07-01,,5051.181640625,403.6454545454545,12875.0,1927.33981992645
1993-08-01,,4740.47607421875,391.9018181818182,12175.0001907349,1951.07137548676
1993-09-01,,4376.04541015625,362.4613636363636,12333.3330154419,1858.24999750519
1993-10-01,,4464.85693359375,367.9071428571429,12216.6662216187,1646.99992897491
1993-11-01,,4642.27294921875,374.4136363636364,11649.9996185303,1632.56810484467
1993-12-01,,5139.7998046875,383.1717391304348,13399.9996185303,1723.6250736618
1994-01-01,,5584.0478515625,387.8,20750.0,1807.07136699066
1994-02-01,,5830.10009765625,394.0225,21166.6660308838,1865.07501472778
1994-03-01,,5590.4345703125,400.2826086956522,24416.6660308838,1913.17391866455
1994-04-01,,5400.26318359375,397.902380952381,24875.0,1881.36846713562
1994-05-01,,6082.85693359375,398.0068181818182,23562.5,2144.50007046051
1994-06-01,,6287.04541015625,401.0909090909091,24375.0,2363.09102303009
1994-07-01,,6230.5712890625,411.9509523809524,23524.9996185303,2447.23803404999
1994-08-01,,5856.13623046875,412.1869565217391,22437.5,2409.74997397766
1994-09-01,,6370.681640625,417.2840909090909,25500.0,2504.84103139343
1994-10-01,,6735.85693359375,419.3952380952381,27333.3339691162,2546.02375416412
1994-11-01,,7474.54541015625,412.3727272727273,26687.5,2803.54541098175
1994-12-01,,8540.650390625,410.8477272727273,29250.0,2980.69999645081
1995-01-01,,9596.1904296875,413.8954545454545,30375.0,3003.26189506836
1995-02-01,,8431.25,413.9675,30000.0,2870.45015814514
1995-03-01,,7522.39111328125,416.8934782608696,28437.5,2919.67397804871
1995-04-01,,7405.0,448.29,27937.5,2894.88882296448
1995-05-01,,7262.380859375,437.3521739130435,29000.0,2771.57125569763
1995-06-01,,7877.27294921875,438.5295454545455,27850.0003814697,2987.68194348755
1995-07-01,,8618.0,433.6309523809524,27399.9996185303,3076.4500581665
1995-08-01,,8931.818359375,425.3434782608696,28812.5,3040.13619641418
1995-09-01,,8397.25,429.65,29045.0000762939,2910.42504276428
1995-10-01,,8068.86376953125,412.6636363636364,29187.5,2810.06817431793
1995-11-01,,8498.095703125,413.125,30875.0,2981.61903664856
1995-12-01,,8074.21044921875,408.7142857142857,31674.9992370605,2918.21064537659
1996-01-01,,7870.71435546875,415.4826086956522,31750.0,2604.99992943115
1996-02-01,,8198.5,420.2071428571429,31125.0,2544.66672335968
1996-03-01,,8046.39990234375,411.1928571428571,29350.0003814697,2563.34994940033
1996-04-01,,8047.0,404.3931818181818,28375.0,2594.17496803894
1996-05-01,,8042.85693359375,401.4152173913043,28500.0,2658.76193080902
1996-06-01,,7713.15771484375,392.2475,26062.5,2177.59998270721
1996-07-01,,7202.60888671875,393.6565217391304,22687.5,1983.93479971771
1996-08-01,,7037.619140625,400.0304545454545,21399.9996185303,2017.85720584564
1996-09-01,,7329.8095703125,389.8642857142857,22149.9996185303,1935.07143060913
1996-10-01,,7028.69580078125,384.1847826086957,21887.5007629395,1960.19567519531
1996-11-01,,6960.71435546875,381.9809523809524,21399.9996185303,2215.42864607391
1996-12-01,,6571.0478515625,370.7045454545455,21399.9996185303,2264.59527826385
1997-01-01,,7069.13623046875,360.0978260869565,21687.5,2427.27279402924
1997-02-01,,7736.5791015625,365.0125,21687.5,2406.63156159363
1997-03-01,,7893.21044921875,378.9047619047619,19924.9992370605,2420.1842087265
1997-04-01,,7313.13623046875,371.0795454545455,22468.75,2389.31814949341
1997-05-01,,7476.0,387.5,25375.0,2513.29993523407
1997-06-01,,7060.0,430.7619047619048,23406.25,2611.28570015411
1997-07-01,,6832.7392578125,415.5217391304348,22562.5,2449.19570404663
1997-08-01,,6764.4501953125,424.547619047619,23475.0003814697,2250.10004305115
1997-09-01,,6498.28564453125,424.7272727272727,24524.9996185303,2104.30955452118
1997-10-01,,6373.47802734375,423.1195652173913,23770.0004577637,2050.6955684021
1997-11-01,,6137.25,392.2875,25412.5003814697,1918.49994499359
1997-12-01,,5942.380859375,365.4239130434783,25649.9996185303,1761.45239143524
1998-01-01,,5489.0,373.8568181818182,24995.0008392334,1687.60000986328
1998-02-01,,5367.25,386.08,24668.7507629395,1663.99998604431
1998-03-01,,5397.04541015625,398.9886363636364,24958.3339691162,1747.15916341095
1998-04-01,,5391.0,413.75,24625.0,1800.12507817535
1998-05-01,,5016.84228515625,388.9047619047619,24500.0,1731.65792903595
1998-06-01,,4456.90478515625,355.4318181818182,24250.0,1656.59518632507
1998-07-01,,4332.619140625,378.4347826086957,22819.9996948242,1655.66672697449
1998-08-01,,4078.0,369.1785714285714,21787.5003814697,1619.92507875671
1998-09-01,,4100.9091796875,361.1477272727273,20837.4996185303,1646.77269191284
1998-10-01,,3870.45458984375,342.6022727272727,17750.0,1585.49992534637
1998-11-01,,4117.25,347.1785714285714,15437.5,1573.72497511139
1998-12-01,,3865.76318359375,351.7934782608696,11468.75,1475.76309447174
1999-01-01,,4264.0,355.1071428571429,10937.5,1432.00002842255
1999-02-01,,4623.25,364.075,18083.3333333333,1412.95
1999-03-01,,5002.95454545455,369.9347826086957,18525.0,1378.47727272727
1999-04-01,,5054.75,357.1454545454545,16350.0,1463.725
1999-05-01,,5395.78947368421,356.0119047619048,16112.5,1510.44736842105
1999-06-01,,5194.77272727273,356.7840909090909,20581.25,1422.15909090909
1999-07-01,,5696.36363636364,349.0568181818182,20100.0,1639.18181818182
1999-08-01,,6431.42857142857,350.0568181818182,19000.0,1646.7380952381
1999-09-01,,7029.09090909091,370.9318181818182,18350.0,1749.68181818182
1999-10-01,,7317.61904761905,421.1428571428571,15666.6666666667,1723.28571428571
1999-11-01,,7946.81818181818,434.0227272727273,14000.0,1726.77272727273
1999-12-01,,8073.23529411765,439.1304347826087,14200.0,1764.88235294118
2000-01-01,,8315.25,441.0,14437.5,1843.85
2000-02-01,,9583.75,519.7142857142857,14093.75,1807.025
2000-03-01,,10255.4,479.3260869565217,15225.0,1739.8
2000-04-01,,9746.5,497.55,16218.75,1681.9075
2000-05-01,,10122.9130434783,525.8913043478261,16543.4782608696,1785.09782608696
2000-06-01,,8384.31818181818,559.7272727272727,14977.2727272727,1752.07272727273
2000-07-01,,8174.80952380952,560.2857142857143,13071.4285714286,1803.14285714286
2000-08-01,,8038.4347826087,577.6086956521739,13934.7826086957,1857.12391304348
2000-09-01,,8624.80952380952,591.9047619047619,15029.7619047619,1961.89285714286
2000-10-01,,7650.63636363636,579.7159090909091,16681.8181818182,1894.37272727273
2000-11-01,,7350.59090909091,593.3409090909091,16000.0,1795.60227272727
2000-12-01,,7318.8,609.5,16000.0,1852.4
2001-01-01,,6975.90909090909,620.4660869565217,13500.0,1787.05681818182
2001-02-01,,6546.8,600.925,13900.0,1766.125
2001-03-01,,6165.18181818182,584.2272727272727,14272.7272727273,1742.15909090909
2001-04-01,,6363.11111111111,594.8571428571429,14119.0476190476,1665.97222222222
2001-05-01,,7086.47619047619,610.695652173913,10908.6956521739,1684.85
2001-06-01,,6674.33333333333,579.7209523809524,10814.2857142857,1610.46904761905
2001-07-01,,5962.54545454546,530.8409090909091,10293.1818181818,1526.77045454545
2001-08-01,,5525.63636363636,451.695652173913,9681.52173913044,1466.41136363636
2001-09-01,,5057.65,457.9,9312.5,1427.69736842105
2001-10-01,,4830.78260869565,431.3913043478261,8250.0,1377.37608695652
2001-11-01,,5131.31818181818,429.8863636363636,8250.0,1434.29318181818
2001-12-01,,5315.82352941176,461.7261904761905,7592.85714285714,1472.84705882353
2002-01-01,,6061.36363636364,472.1086956521739,6950.0,1508.22727272727
2002-02-01,,6039.95,471.15,6950.0,1561.3675
2002-03-01,,6543.2,512.047619047619,6765.47619047619,1607.3925
2002-04-01,,6956.80952380952,539.2045454545455,6625.0,1588.57142857143
2002-05-01,,6771.18181818182,533.85,6684.78260869565,1597.02272727273
2002-06-01,,7147.61111111111,554.7,6706.25,1650.59444444444
2002-07-01,,7137.69565217391,526.195652173913,6788.04347826087,1588.2847826087
2002-08-01,,6736.85714285714,544.8409090909091,6613.63636363636,1482.91666666667
2002-09-01,,6664.95238095238,556.3333333333333,6685.71428571429,1478.93333333333
2002-10-01,,6818.91304347826,580.195652173913,6188.04347826087,1486.17173913043
2002-11-01,,7314.80952380952,588.0952380952381,6185.71428571429,1581.03571428571
