date,lithium,nickel,platinum,cobalt,copper,cobalt_norm,Copper_pink,Platinum_pink,Nickel_pink
1989-01-01,,,,,,,3394.06,526.93,17725.0
1989-02-01,,,,,,,3096.92,531.94,18523.8
1989-03-01,,,,,,,3264.14,538.03,17157.1
1989-04-01,,,,,,,3117.91,537.67,15261.3
1989-05-01,,,,,,,2738.98,516.75,13454.2
1989-06-01,,,,,,,2546.01,497.35,12142.6
1989-07-01,,,,,,,2505.0,501.91,12275.0
1989-08-01,,,,,,,2762.2,484.64,12909.7
1989-09-01,,,,,,,2884.4,477.67,11222.1
1989-10-01,,,,,,,2861.4,485.82,10424.9
1989-11-01,,,,,,,2591.3,510.19,9793.2
1989-12-01,,,,,,,2418.6,506.81,8809.2
1990-01-01,,,,,,,2366.64,497.66,7055.9
1990-02-01,,,,,,,2360.16,516.1,6976.9
1990-03-01,,,,,,,2625.61,497.06,9266.8
1990-04-01,,,,,,,2686.15,478.15,8939.5
1990-05-01,,,,,,,2741.95,488.55,8698.0
1990-06-01,,,,,,,2584.56,481.11,8422.1
1990-07-01,,,,,,,2769.49,478.79,9318.2
1990-08-01,,,,,,,2957.03,492.73,10957.4
1990-09-01,,,,,,,3031.37,461.66,10844.0
1990-10-01,,,,,,,2743.56,424.95,9145.4
1990-11-01,,,,,,,2585.89,422.24,8587.4
1990-12-01,,,,,,,2485.38,420.07,8157.6
1991-01-01,,,,,,,2448.52,407.84,8568.8
1991-02-01,,,,,,,2449.38,386.79,8672.3
1991-03-01,,,,,,,2409.63,399.99,8700.8
1991-04-01,,,,,,,2472.04,396.88,9021.0
1991-05-01,,,,,,,2305.88,389.64,8452.4
1991-06-01,,,,,,,2219.28,376.05,8280.0
1991-07-01,,,,,,,2236.28,376.03,8541.3
1991-08-01,,,,,,,2233.19,346.35,8144.7
1991-09-01,,,,,,,2324.57,349.34,7680.7
1991-10-01,,,,,,,2363.64,362.48,7443.0
1991-11-01,,,,,,,2379.84,365.11,7244.6
1991-12-01,,,,,,,2223.14,353.3,7117.8
1992-01-01,,7531.13671875,341.1869565217391,30920.0019836426,2150.57962901611,68166935.78358334,2139.23,341.19,7517.3
1992-02-01,,7888.0,362.1225,28250.0,2208.89225860596,62280589.015,2205.97,362.12,7861.9
1992-03-01,,7430.455078125,356.9386363636364,28330.0018310547,2231.78550956421,62456962.86138461,2227.33,356.94,7417.7
1992-04-01,,7417.951171875,347.3,27020.0004577637,2214.16681599274,59568904.201596215,2215.33,347.3,7420.6
1992-05-01,,7333.947265625,358.5880952380952,26500.0,2219.31505581207,58422499.43,2216.52,358.59,7326.8
1992-06-01,,7202.36328125,369.1272727272727,24750.0,2296.44193858643,54564409.845,2299.2,369.13,7192.8
1992-07-01,,7516.173828125,383.1217391304348,21669.9981689453,2527.28502240143,47774168.13861539,2520.32,383.12,7497.9
1992-08-01,,7279.75,359.552380952381,19630.0010681152,2513.46998458252,43276744.38539094,2521.64,359.55,7268.0
1992-09-01,,6918.572265625,362.1431818181818,18781.25,2419.61418178101,41405568.581875004,2414.06,362.14,6917.5
1992-10-01,,6322.5,358.0681818181818,15350.0022888184,2262.45696237183,33840962.26298082,2249.15,358.07,6305.3
1992-11-01,,5593.71484375,356.1095238095238,16312.5,2161.78909368286,35962906.48875,2158.32,356.11,5564.88
1992-12-01,,5751.1904296875,361.9717391304348,15875.0,2211.95028749237,34998384.0925,2206.82,361.97,5724.07
1993-01-01,,5948.10009765625,359.1357142857143,15505.0001144409,2264.21397077332,34182673.975398995,2256.85,359.14,5930.93
1993-02-01,,6050.75,359.0175,15958.3330154419,2212.18139313507,35182101.943336025,2212.6,359.02,6038.68
1993-03-01,,5974.9130859375,350.4586956521739,16125.0,2152.38020099945,35549539.7475,2152.59,350.46,5971.3
1993-04-01,,5987.5,368.0113636363636,15274.9996185303,1953.62060192108,33675609.67950328,1949.88,368.01,5972.33
1993-05-01,,5777.78955078125,385.1595238095238,14800.0001907349,1799.35169844818,32628415.196498476,1794.5,385.16,5762.55
1993-06-01,,5544.318359375,383.0159090909091,13687.5,1857.87070840454,30175772.111250002,1853.42,383.02,5532.43
1993-07-01,,5051.181640625,403.6454545454545,12875.0,1927.33981992645,28384516.2325,1927.16,403.65,5036.2
1993-08-01,,4740.47607421875,391.9018181818182,12175.0001907349,1951.07137548676,26841280.818998475,1947.45,391.9,4721.81
