date,Copper,Platinum,Nickel
1989-01-01,3394.06,526.93,17725.0
1989-02-01,3096.92,531.94,18523.8
1989-03-01,3264.14,538.03,17157.1
1989-04-01,3117.91,537.67,15261.3
1989-05-01,2738.98,516.75,13454.2
1989-06-01,2546.01,497.35,12142.6
1989-07-01,2505.0,501.91,12275.0
1989-08-01,2762.2,484.64,12909.7
1989-09-01,2884.4,477.67,11222.1
1989-10-01,2861.4,485.82,10424.9
1989-11-01,2591.3,510.19,9793.2
1989-12-01,2418.6,506.81,8809.2
1990-01-01,2366.64,497.66,7055.9
1990-02-01,2360.16,516.1,6976.9
1990-03-01,2625.61,497.06,9266.8
1990-04-01,2686.15,478.15,8939.5
1990-05-01,2741.95,488.55,8698.0
1990-06-01,2584.56,481.11,8422.1
1990-07-01,2769.49,478.79,9318.2
1990-08-01,2957.03,492.73,10957.4
1990-09-01,3031.37,461.66,10844.0
1990-10-01,2743.56,424.95,9145.4
1990-11-01,2585.89,422.24,8587.4
1990-12-01,2485.38,420.07,8157.6
1991-01-01,2448.52,407.84,8568.8
1991-02-01,2449.38,386.79,8672.3
1991-03-01,2409.63,399.99,8700.8
1991-04-01,2472.04,396.88,9021.0
1991-05-01,2305.88,389.64,8452.4
1991-06-01,2219.28,376.05,8280.0
1991-07-01,2236.28,376.03,8541.3
1991-08-01,2233.19,346.35,8144.7
1991-09-01,2324.57,349.34,7680.7
1991-10-01,2363.64,362.48,7443.0
1991-11-01,2379.84,365.11,7244.6
1991-12-01,2223.14,353.3,7117.8
1992-01-01,2139.23,341.19,7517.3
1992-02-01,2205.97,362.12,7861.9
1992-03-01,2227.33,356.94,7417.7
1992-04-01,2215.33,347.3,7420.6
1992-05-01,2216.52,358.59,7326.8
1992-06-01,2299.2,369.13,7192.8
1992-07-01,2520.32,383.12,7497.9
1992-08-01,2521.64,359.55,7268.0
1992-09-01,2414.06,362.14,6917.5
1992-10-01,2249.15,358.07,6305.3
1992-11-01,2158.32,356.11,5564.88
1992-12-01,2206.82,361.97,5724.07
1993-01-01,2256.85,359.14,5930.93
1993-02-01,2212.6,359.02,6038.68
1993-03-01,2152.59,350.46,5971.3
1993-04-01,1949.88,368.01,5972.33
1993-05-01,1794.5,385.16,5762.55
1993-06-01,1853.42,383.02,5532.43
1993-07-01,1927.16,403.65,5036.2
1993-08-01,1947.45,391.9,4721.81
1993-09-01,1861.86,362.46,4352.89
1993-10-01,1646.4,367.91,4448.9
1993-11-01,1630.02,374.41,4633.89
1993-12-01,1724.19,383.17,5119.12
1994-01-01,1805.35,387.8,5577.95
1994-02-01,1866.4,394.02,5824.95
1994-03-01,1914.87,400.28,5587.54
1994-04-01,1881.82,397.9,5407.97
1994-05-01,2150.6,398.01,6086.65
1994-06-01,2364.2,401.09,6281.84
1994-07-01,2458.19,411.95,6226.76
1994-08-01,2406.23,412.19,5859.5
1994-09-01,2505.93,417.28,6364.75
1994-10-01,2547.67,419.4,6748.29
1994-11-01,2802.45,412.37,7556.14
1994-12-01,2985.3,410.85,8555.5
1995-01-01,3008.93,413.9,9592.55
1995-02-01,2877.65,413.97,8505.45
1995-03-01,2924.04,416.89,7531.91
1995-04-01,2903.5,448.29,7397.83
1995-05-01,2773.31,437.35,7232.19
1995-06-01,2994.64,438.53,7871.57
1995-07-01,3075.67,433.63,8596.57
1995-08-01,3036.84,425.34,8944.66
1995-09-01,2915.52,429.65,8405.21
1995-10-01,2813.55,412.66,8061.73
1995-11-01,2977.36,413.12,8505.91
1995-12-01,2926.26,408.71,8090.89
1996-01-01,2616.41,415.48,7862.05
1996-02-01,2537.71,420.21,8215.55
1996-03-01,2561.02,411.19,8021.74
1996-04-01,2595.78,404.39,8042.85
1996-05-01,2658.26,401.42,8026.55
1996-06-01,2173.4,392.25,7709.48
1996-07-01,1985.57,393.66,7203.65
1996-08-01,2008.57,400.03,7054.36
1996-09-01,1941.45,389.86,7318.05
1996-10-01,1961.17,384.18,7031.39
1996-11-01,2230.86,381.98,6943.38
1996-12-01,2268.08,370.7,6580.75
1997-01-01,2434.93,360.1,7071.55
1997-02-01,2405.85,365.01,7734.53
1997-03-01,2421.29,378.9,7895.87
1997-04-01,2391.18,371.08,7315.52
1997-05-01,2514.33,387.5,7482.85
1997-06-01,2612.62,430.76,7062.48
1997-07-01,2450.46,415.52,6835.5
1997-08-01,2251.2,424.55,6761.3
